ID,URL,description
1,https://storage.googleapis.com/icandesign_vi3/Models_sleeping-lying.bedroom.beds.ikea_001_001_0_0.jpg,King
2,https://storage.googleapis.com/icandesign_vi3/Models_sleeping-lying.bedroom.beds.ikea_001_001_0_1.jpg,King
3,https://storage.googleapis.com/icandesign_vi3/Models_sleeping-lying.bedroom.beds.ikea_001_001_0_2.jpg,King
4,https://storage.googleapis.com/icandesign_vi3/Models_sleeping-lying.bedroom.beds.ikea_001_001_0_3.jpg,King
5,https://storage.googleapis.com/icandesign_vi3/Models_sleeping-lying.bedroom.beds.ikea_001_001_0_4.jpg,King
6,https://storage.googleapis.com/icandesign_vi3/Models_sleeping-lying.bedroom.beds.ikea_001_001_0_5.jpg,King
7,https://storage.googleapis.com/icandesign_vi3/Models_sleeping-lying.bedroom.beds.ikea_001_001_0_6.jpg,King
8,https://storage.googleapis.com/icandesign_vi3/Models_sleeping-lying.bedroom.beds.ikea_001_001_0_7.jpg,King
9,https://storage.googleapis.com/icandesign_vi3/Models_sleeping-lying.bedroom.beds.ikea_001_001_0_8.jpg,King
10,https://storage.googleapis.com/icandesign_vi3/Models_sleeping-lying.bedroom.beds.ikea_001_001_0_10.jpg,King
11,https://storage.googleapis.com/icandesign_vi3/Models_sleeping-lying.bedroom.beds.ikea_001_001_0_11.jpg,King
12,https://storage.googleapis.com/icandesign_vi3/Models_sleeping-lying.bedroom.beds.ikea_001_001_0_12.jpg,King
13,https://storage.googleapis.com/icandesign_vi3/Models_sleeping-lying.bedroom.beds.ikea_001_001_0_13.jpg,King
14,https://storage.googleapis.com/icandesign_vi3/Models_sleeping-lying.bedroom.beds.ikea_001_001_0_14.jpg,King
15,https://storage.googleapis.com/icandesign_vi3/Models_sleeping-lying.bedroom.beds.ikea_001_001_1_0.jpg,King
16,https://storage.googleapis.com/icandesign_vi3/Models_sleeping-lying.bedroom.beds.ikea_001_001_1_1.jpg,King
17,https://storage.googleapis.com/icandesign_vi3/Models_sleeping-lying.bedroom.beds.ikea_001_001_0_0.jpg,Queen
18,https://storage.googleapis.com/icandesign_vi3/Models_sleeping-lying.bedroom.beds.ikea_001_001_0_1.jpg,Queen
19,https://storage.googleapis.com/icandesign_vi3/Models_sleeping-lying.bedroom.beds.ikea_001_001_0_2.jpg,Queen
20,https://storage.googleapis.com/icandesign_vi3/Models_sleeping-lying.bedroom.beds.ikea_001_001_0_3.jpg,Queen
21,https://storage.googleapis.com/icandesign_vi3/Models_sleeping-lying.bedroom.beds.ikea_001_001_0_4.jpg,Queen
22,https://storage.googleapis.com/icandesign_vi3/Models_sleeping-lying.bedroom.beds.ikea_001_001_0_5.jpg,Queen
23,https://storage.googleapis.com/icandesign_vi3/Models_sleeping-lying.bedroom.beds.ikea_001_001_0_6.jpg,Queen
24,https://storage.googleapis.com/icandesign_vi3/Models_sleeping-lying.bedroom.beds.ikea_001_001_0_7.jpg,Queen
25,https://storage.googleapis.com/icandesign_vi3/Models_sleeping-lying.bedroom.beds.ikea_001_001_0_8.jpg,Queen
26,https://storage.googleapis.com/icandesign_vi3/Models_sleeping-lying.bedroom.beds.ikea_001_001_0_10.jpg,Queen
27,https://storage.googleapis.com/icandesign_vi3/Models_sleeping-lying.bedroom.beds.ikea_001_001_0_11.jpg,Queen
28,https://storage.googleapis.com/icandesign_vi3/Models_sleeping-lying.bedroom.beds.ikea_001_001_0_12.jpg,Queen
29,https://storage.googleapis.com/icandesign_vi3/Models_sleeping-lying.bedroom.beds.ikea_001_001_0_13.jpg,Queen
30,https://storage.googleapis.com/icandesign_vi3/Models_sleeping-lying.bedroom.beds.ikea_001_001_0_14.jpg,Queen
31,https://storage.googleapis.com/icandesign_vi3/Models_sleeping-lying.bedroom.beds.ikea_001_001_1_0.jpg,Queen
32,https://storage.googleapis.com/icandesign_vi3/Models_sleeping-lying.bedroom.beds.ikea_001_001_1_1.jpg,Queen
33,https://storage.googleapis.com/icandesign_vi3/Models_sleeping-lying.bedroom.beds.ikea_001_001_0_0.jpg,Full
34,https://storage.googleapis.com/icandesign_vi3/Models_sleeping-lying.bedroom.beds.ikea_001_001_0_1.jpg,Full
35,https://storage.googleapis.com/icandesign_vi3/Models_sleeping-lying.bedroom.beds.ikea_001_001_0_2.jpg,Full
